index,emoji,category,description_eng_Latn,description_deu_Latn,description_spa_Latn,description_fra_Latn,description_jpn_Jpan,description_kor_Hang,description_por_Latn,description_ita_Latn,description_fas_Arab,description_ind_Latn,description_zho_Hans,description_rus_Cyrl,description_tur_Latn,description_ary_Latn,description_arb_Arab,is_multi_char
4409,👩🏻‍⚕️,Uncategorized,woman health worker light skin tone,ärztin helle hautfarbe,profesional sanitario mujer tono de piel claro,professionnelle de la santé peau claire,女性の医者 薄い肌色,여자 의료인 하얀 피부,mulher profissional da saúde pele clara,operatrice sanitaria carnagione chiara,مددکار بهداشت زن پوست سفید,pekerja kesehatan wanita warna kulit cerah,女医生 较浅肤色,женщина-врач очень светлыи тон кожи,kadın sağlık çalışanı açık cilt tonu,عاملة بقطاع الصحة بشرة بلون فاتح,عاملة بقطاع الصحة بشرة بلون فاتح,TRUE
4410,👩🏻‍⚕,Uncategorized,woman health worker light skin tone,ärztin helle hautfarbe,profesional sanitario mujer tono de piel claro,professionnelle de la santé peau claire,女性の医者 薄い肌色,여자 의료인 하얀 피부,mulher profissional da saúde pele clara,operatrice sanitaria carnagione chiara,مددکار بهداشت زن پوست سفید,pekerja kesehatan wanita warna kulit cerah,女医生 较浅肤色,женщина врач очень светлый тон кожи,kadın sağlık çalışanı açık cilt tonu,عاملة بقطاع الصحة بشرة بلون فاتح,عاملة بقطاع الصحة بشرة بلون فاتح,TRUE
4411,👩🏾‍⚕️,Uncategorized,woman health worker medium-dark skin tone,ärztin mitteldunkle hautfarbe,profesional sanitario mujer tono de piel oscuro medio,professionnelle de la santé peau mate,女性の医者 やや濃い肌色,여자 의료인 진한 갈색 피부,mulher profissional da saúde pele morena escura,operatrice sanitaria carnagione abbastanza scura,مددکار بهداشت زن پوست گندمی,pekerja kesehatan wanita warna kulit gelap-sedang,女医生 中等深肤色,женщина-врач темныи тон кожи,kadın sağlık çalışanı orta koyu cilt tonu,عاملة بقطاع الصحة بشرة بلون معتدل مائل للغامق,عاملة بقطاع الصحة بشرة بلون معتدل مائل للغامق,TRUE
4412,👩🏾‍⚕,Uncategorized,woman health worker medium-dark skin tone,ärztin mitteldunkle hautfarbe,profesional sanitario mujer tono de piel oscuro medio,professionnelle de la santé peau mate,女性の医者 やや濃い肌色,여자 의료인 진한 갈색 피부,mulher profissional da saúde pele morena escura,operatrice sanitaria carnagione abbastanza scura,مددکار بهداشت زن پوست گندمی,pekerja kesehatan wanita warna kulit gelap-sedang,女医生 中等深肤色,женщина врач темный тон кожи,kadın sağlık çalışanı orta koyu cilt tonu,عاملة بقطاع الصحة بشرة بلون معتدل مائل للغامق,عاملة بقطاع الصحة بشرة بلون معتدل مائل للغامق,TRUE
4413,👩🏼‍⚕️,Uncategorized,woman health worker medium-light skin tone,ärztin mittelhelle hautfarbe,profesional sanitario mujer tono de piel claro medio,professionnelle de la santé peau moyennement claire,女性の医者 やや薄い肌色,여자 의료인 연한 갈색 피부,mulher profissional da saúde pele morena clara,operatrice sanitaria carnagione abbastanza chiara,مددکار بهداشت زن پوست روشن,pekerja kesehatan wanita warna kulit cerah-sedang,女医生 中等浅肤色,женщина-врач светлыи тон кожи,kadın sağlık çalışanı orta açık cilt tonu,عاملة بقطاع الصحة بشرة بلون فاتح ومعتدل,عاملة بقطاع الصحة بشرة بلون فاتح ومعتدل,TRUE
4414,👩🏼‍⚕,Uncategorized,woman health worker medium-light skin tone,ärztin mittelhelle hautfarbe,profesional sanitario mujer tono de piel claro medio,professionnelle de la santé peau moyennement claire,女性の医者 やや薄い肌色,여자 의료인 연한 갈색 피부,mulher profissional da saúde pele morena clara,operatrice sanitaria carnagione abbastanza chiara,مددکار بهداشت زن پوست روشن,pekerja kesehatan wanita warna kulit cerah-sedang,女医生 中等浅肤色,женщина врач светлый тон кожи,kadın sağlık çalışanı orta açık cilt tonu,عاملة بقطاع الصحة بشرة بلون فاتح ومعتدل,عاملة بقطاع الصحة بشرة بلون فاتح ومعتدل,TRUE
4415,👩🏽‍⚕️,Uncategorized,woman health worker medium skin tone,ärztin mittlere hautfarbe,profesional sanitario mujer tono de piel medio,professionnelle de la santé peau légèrement mate,女性の医者 中間の肌色,여자 의료인 갈색 피부,mulher profissional da saúde pele morena,operatrice sanitaria carnagione olivastra,مددکار بهداشت زن پوست طلایی,pekerja kesehatan wanita warna kulit sedang,女医生 中等肤色,женщина-врач среднии тон кожи,kadın sağlık çalışanı orta cilt tonu,عاملة بقطاع الصحة بشرة بلون معتدل,عاملة بقطاع الصحة بشرة بلون معتدل,TRUE
4416,👩🏽‍⚕,Uncategorized,woman health worker medium skin tone,ärztin mittlere hautfarbe,profesional sanitario mujer tono de piel medio,professionnelle de la santé peau légèrement mate,女性の医者 中間の肌色,여자 의료인 갈색 피부,mulher profissional da saúde pele morena,operatrice sanitaria carnagione olivastra,مددکار بهداشت زن پوست طلایی,pekerja kesehatan wanita warna kulit sedang,女医生 中等肤色,женщина врач средний тон кожи,kadın sağlık çalışanı orta cilt tonu,عاملة بقطاع الصحة بشرة بلون معتدل,عاملة بقطاع الصحة بشرة بلون معتدل,TRUE
4417,🧘‍♀️,Uncategorized,woman in lotus position,frau im lotossitz,mujer en posición de loto,femme dans la posture du lotus,ヨガのポーズをする女,가부좌한 여자,mulher na posição de lótus,donna in posizione del loto,زن در حالت خلسه,wanita dalam posisi teratai,盘腿的女人,женщина в позе лотоса,lotus pozisyonundaki kadın,امرأة متربعة,امرأة متربعة,TRUE
4418,🧘‍♀,Uncategorized,woman in lotus position,frau im lotossitz,mujer en posición de loto,femme dans la posture du lotus,ヨガのポーズをする女,가부좌한 여자,mulher na posição de lótus,donna in posizione del loto,زن در حالت خلسه,wanita dalam posisi teratai,盘腿的女人,женщина в позе лотоса,lotus pozisyonundaki kadın,امرأة متربعة,امرأة متربعة,TRUE
4419,🧘🏿‍♀️,Uncategorized,woman in lotus position dark skin tone,frau im lotossitz dunkle hautfarbe,mujer en posición de loto tono de piel oscuro,femme dans la posture du lotus peau foncée,ヨガのポーズをする女 濃い肌色,가부좌한 여자 검은색 피부,mulher na posição de lótus pele escura,donna in posizione del loto carnagione scura,زن در حالت خلسه پوست آبنوسی,wanita dalam posisi teratai warna kulit gelap,盘腿的女人 较深肤色,женщина в позе лотоса очень темныи тон кожи,lotus pozisyonundaki kadın koyu cilt tonu,امرأة متربعة بشرة بلون غامق,امرأة متربعة بشرة بلون غامق,TRUE
4420,🧘🏿‍♀,Uncategorized,woman in lotus position dark skin tone,frau im lotossitz dunkle hautfarbe,mujer en posición de loto tono de piel oscuro,femme dans la posture du lotus peau foncée,ヨガのポーズをする女 濃い肌色,가부좌한 여자 검은색 피부,mulher na posição de lótus pele escura,donna in posizione del loto carnagione scura,زن در حالت خلسه پوست آبنوسی,wanita dalam posisi teratai warna kulit gelap,盘腿的女人 较深肤色,женщина в позе лотоса очень темный тон кожи,lotus pozisyonundaki kadın koyu cilt tonu,امرأة متربعة بشرة بلون غامق,امرأة متربعة بشرة بلون غامق,TRUE
4421,🧘🏻‍♀️,Uncategorized,woman in lotus position light skin tone,frau im lotossitz helle hautfarbe,mujer en posición de loto tono de piel claro,femme dans la posture du lotus peau claire,ヨガのポーズをする女 薄い肌色,가부좌한 여자 하얀 피부,mulher na posição de lótus pele clara,donna in posizione del loto carnagione chiara,زن در حالت خلسه پوست سفید,wanita dalam posisi teratai warna kulit cerah,盘腿的女人 较浅肤色,женщина в позе лотоса очень светлыи тон кожи,lotus pozisyonundaki kadın açık cilt tonu,امرأة متربعة بشرة بلون فاتح,امرأة متربعة بشرة بلون فاتح,TRUE
4422,🧘🏻‍♀,Uncategorized,woman in lotus position light skin tone,frau im lotossitz helle hautfarbe,mujer en posición de loto tono de piel claro,femme dans la posture du lotus peau claire,ヨガのポーズをする女 薄い肌色,가부좌한 여자 하얀 피부,mulher na posição de lótus pele clara,donna in posizione del loto carnagione chiara,زن در حالت خلسه پوست سفید,wanita dalam posisi teratai warna kulit cerah,盘腿的女人 较浅肤色,женщина в позе лотоса очень светлый тон кожи,lotus pozisyonundaki kadın açık cilt tonu,امرأة متربعة بشرة بلون فاتح,امرأة متربعة بشرة بلون فاتح,TRUE
4423,🧘🏾‍♀️,Uncategorized,woman in lotus position medium-dark skin tone,frau im lotossitz mitteldunkle hautfarbe,mujer en posición de loto tono de piel oscuro medio,femme dans la posture du lotus peau mate,ヨガのポーズをする女 やや濃い肌色,가부좌한 여자 진한 갈색 피부,mulher na posição de lótus pele morena escura,donna in posizione del loto carnagione abbastanza scura,زن در حالت خلسه پوست گندمی,wanita dalam posisi teratai warna kulit gelap-sedang,盘腿的女人 中等深肤色,женщина в позе лотоса темныи тон кожи,lotus pozisyonundaki kadın orta koyu cilt tonu,امرأة متربعة بشرة بلون معتدل مائل للغامق,امرأة متربعة بشرة بلون معتدل مائل للغامق,TRUE
4424,🧘🏾‍♀,Uncategorized,woman in lotus position medium-dark skin tone,frau im lotossitz mitteldunkle hautfarbe,mujer en posición de loto tono de piel oscuro medio,femme dans la posture du lotus peau mate,ヨガのポーズをする女 やや濃い肌色,가부좌한 여자 진한 갈색 피부,mulher na posição de lótus pele morena escura,donna in posizione del loto carnagione abbastanza scura,زن در حالت خلسه پوست گندمی,wanita dalam posisi teratai warna kulit gelap-sedang,盘腿的女人 中等深肤色,женщина в позе лотоса темный тон кожи,lotus pozisyonundaki kadın orta koyu cilt tonu,امرأة متربعة بشرة بلون معتدل مائل للغامق,امرأة متربعة بشرة بلون معتدل مائل للغامق,TRUE
4425,🧘🏼‍♀️,Uncategorized,woman in lotus position medium-light skin tone,frau im lotossitz mittelhelle hautfarbe,mujer en posición de loto tono de piel claro medio,femme dans la posture du lotus peau moyennement claire,ヨガのポーズをする女 やや薄い肌色,가부좌한 여자 연한 갈색 피부,mulher na posição de lótus pele morena clara,donna in posizione del loto carnagione abbastanza chiara,زن در حالت خلسه پوست روشن,wanita dalam posisi teratai warna kulit cerah-sedang,盘腿的女人 中等浅肤色,женщина в позе лотоса светлыи тон кожи,lotus pozisyonundaki kadın orta açık cilt tonu,امرأة متربعة بشرة بلون فاتح ومعتدل,امرأة متربعة بشرة بلون فاتح ومعتدل,TRUE
4426,🧘🏼‍♀,Uncategorized,woman in lotus position medium-light skin tone,frau im lotossitz mittelhelle hautfarbe,mujer en posición de loto tono de piel claro medio,femme dans la posture du lotus peau moyennement claire,ヨガのポーズをする女 やや薄い肌色,가부좌한 여자 연한 갈색 피부,mulher na posição de lótus pele morena clara,donna in posizione del loto carnagione abbastanza chiara,زن در حالت خلسه پوست روشن,wanita dalam posisi teratai warna kulit cerah-sedang,盘腿的女人 中等浅肤色,женщина в позе лотоса светлый тон кожи,lotus pozisyonundaki kadın orta açık cilt tonu,امرأة متربعة بشرة بلون فاتح ومعتدل,امرأة متربعة بشرة بلون فاتح ومعتدل,TRUE
4427,🧘🏽‍♀️,Uncategorized,woman in lotus position medium skin tone,frau im lotossitz mittlere hautfarbe,mujer en posición de loto tono de piel medio,femme dans la posture du lotus peau légèrement mate,ヨガのポーズをする女 中間の肌色,가부좌한 여자 갈색 피부,mulher na posição de lótus pele morena,donna in posizione del loto carnagione olivastra,زن در حالت خلسه پوست طلایی,wanita dalam posisi teratai warna kulit sedang,盘腿的女人 中等肤色,женщина в позе лотоса среднии тон кожи,lotus pozisyonundaki kadın orta cilt tonu,امرأة متربعة بشرة بلون معتدل,امرأة متربعة بشرة بلون معتدل,TRUE
4428,🧘🏽‍♀,Uncategorized,woman in lotus position medium skin tone,frau im lotossitz mittlere hautfarbe,mujer en posición de loto tono de piel medio,femme dans la posture du lotus peau légèrement mate,ヨガのポーズをする女 中間の肌色,가부좌한 여자 갈색 피부,mulher na posição de lótus pele morena,donna in posizione del loto carnagione olivastra,زن در حالت خلسه پوست طلایی,wanita dalam posisi teratai warna kulit sedang,盘腿的女人 中等肤色,женщина в позе лотоса средний тон кожи,lotus pozisyonundaki kadın orta cilt tonu,امرأة متربعة بشرة بلون معتدل,امرأة متربعة بشرة بلون معتدل,TRUE
4429,👩‍🦽,Uncategorized,woman in manual wheelchair,frau in manuellem rollstuhl,mujer en silla de ruedas manual,femme en fauteuil roulant manuel,手動式車椅子の女性,수동 휠체어를 탄 여자,mulher em cadeira de rodas manual,donna su sedia a rotelle manuale,زن در صندلی چرخ دار دستی,wanita dengan kursi roda manual,坐手动轮椅的女人,женщина в ручном кресле коляске,tekerlekli sandalyede kadın,سيدة على كرسي متحرك يدوي,سيدة على كرسي متحرك يدوي,TRUE
4430,👩🏿‍🦽,Uncategorized,woman in manual wheelchair dark skin tone,frau in manuellem rollstuhl dunkle hautfarbe,mujer en silla de ruedas manual tono de piel oscuro,femme en fauteuil roulant manuel peau foncée,手動式車椅子の女性 濃い肌色,수동 휠체어를 탄 여자 검은색 피부,mulher em cadeira de rodas manual pele escura,donna su sedia a rotelle manuale carnagione scura,زن در صندلی چرخ دار دستی پوست آبنوسی,wanita dengan kursi roda manual warna kulit gelap,坐手动轮椅的女人 较深肤色,женщина в ручном кресле коляске очень темный тон кожи,tekerlekli sandalyede kadın koyu cilt tonu,سيدة على كرسي متحرك يدوي بشرة بلون غامق,سيدة على كرسي متحرك يدوي بشرة بلون غامق,TRUE
4431,👩‍🦽‍➡️,Uncategorized,woman in manual wheelchair facing right,frau in manuellem rollstuhl nach rechts,mujer en silla de ruedas manual hacia la derecha,femme en fauteuil roulant manuel vers la droite,手動式車椅子の女性 右向き,오른쪽을 향한 수동 휠체어를 탄 여자,mulher em cadeira de rodas manual de frente para a direita,donna su sedia a rotelle manuale a destra,زن در صندلی چرخ دار دستی به سمت راست,wanita dengan kursi roda manual menghadap kanan,坐手动轮椅的女人面向右边,женщина в ручном кресле коляске направленные вправо,sağa dönük tekerlekli sandalyede kadın,سيدة على كرسي متحرك يدوي متجه لليمين,سيدة على كرسي متحرك يدوي متجه لليمين,TRUE
4432,👩‍🦽‍➡,Uncategorized,woman in manual wheelchair facing right,frau in manuellem rollstuhl nach rechts,mujer en silla de ruedas manual hacia la derecha,femme en fauteuil roulant manuel vers la droite,手動式車椅子の女性 右向き,오른쪽을 향한 수동 휠체어를 탄 여자,mulher em cadeira de rodas manual de frente para a direita,donna su sedia a rotelle manuale a destra,زن در صندلی چرخ دار دستی به سمت راست,wanita dengan kursi roda manual menghadap kanan,坐手动轮椅的女人面向右边,женщина в ручном кресле коляске направленные вправо,sağa dönük tekerlekli sandalyede kadın,سيدة على كرسي متحرك يدوي متجه لليمين,سيدة على كرسي متحرك يدوي متجه لليمين,TRUE
4433,👩🏿‍🦽‍➡️,Uncategorized,woman in manual wheelchair facing right dark skin tone,frau in manuellem rollstuhl nach rechts dunkle hautfarbe,mujer en silla de ruedas manual hacia la derecha tono de piel oscuro,femme en fauteuil roulant manuel vers la droite peau foncée,手動式車椅子の女性 右向き 濃い肌色,오른쪽을 향한 수동 휠체어를 탄 여자 검은색 피부,mulher em cadeira de rodas manual de frente para a direita pele escura,donna su sedia a rotelle manuale a destra carnagione scura,زن در صندلی چرخ دار دستی به سمت راستپوست آبنوسی,wanita dengan kursi roda manual menghadap kanan warna kulit gelap,坐手动轮椅的女人面向右边 较深肤色,женщина в ручном кресле коляске направленные вправо очень темныи тон кожи,sağa dönük tekerlekli sandalyede kadın koyu cilt tonu,سيدة على كرسي متحرك يدوي متجه لليمين بلون غامق,سيدة على كرسي متحرك يدوي متجه لليمين بلون غامق,TRUE
4434,👩🏿‍🦽‍➡,Uncategorized,woman in manual wheelchair facing right dark skin tone,frau in manuellem rollstuhl nach rechts dunkle hautfarbe,mujer en silla de ruedas manual hacia la derecha tono de piel oscuro,femme en fauteuil roulant manuel vers la droite peau foncée,手動式車椅子の女性 右向き 濃い肌色,오른쪽을 향한 수동 휠체어를 탄 여자 검은색 피부,mulher em cadeira de rodas manual de frente para a direita pele escura,donna su sedia a rotelle manuale a destra carnagione scura,زن در صندلی چرخ دار دستی به سمت راستپوست آبنوسی,wanita dengan kursi roda manual menghadap kanan warna kulit gelap,坐手动轮椅的女人面向右边 较深肤色,женщина в ручном кресле коляске направленные вправо очень темныи тон кожи,sağa dönük tekerlekli sandalyede kadın koyu cilt tonu,سيدة على كرسي متحرك يدوي متجه لليمين بلون غامق,سيدة على كرسي متحرك يدوي متجه لليمين بلون غامق,TRUE
4435,👩🏻‍🦽‍➡️,Uncategorized,woman in manual wheelchair facing right light skin tone,frau in manuellem rollstuhl nach rechts helle hautfarbe,mujer en silla de ruedas manual hacia la derecha tono de piel claro,femme en fauteuil roulant manuel vers la droite peau claire,手動式車椅子の女性 右向き 薄い肌色,오른쪽을 향한 수동 휠체어를 탄 여자 하얀 피부,mulher em cadeira de rodas manual de frente para a direita pele clara,donna su sedia a rotelle manuale a destra carnagione chiara,زن در صندلی چرخ دار دستی به سمت راست پوست سفید,wanita dengan kursi roda manual menghadap kanan warna kulit cerah,坐手动轮椅的女人面向右边 较浅肤色,женщина в ручном кресле коляске направленные вправо светлый тон кожи,sağa dönük tekerlekli sandalyede kadın açık cilt tonu,سيدة على كرسي متحرك يدوي متجه لليمين بشرة بلون فاتح,سيدة على كرسي متحرك يدوي متجه لليمين بشرة بلون فاتح,TRUE
4436,👩🏻‍🦽‍➡,Uncategorized,woman in manual wheelchair facing right light skin tone,frau in manuellem rollstuhl nach rechts helle hautfarbe,mujer en silla de ruedas manual hacia la derecha tono de piel claro,femme en fauteuil roulant manuel vers la droite peau claire,手動式車椅子の女性 右向き 薄い肌色,오른쪽을 향한 수동 휠체어를 탄 여자 하얀 피부,mulher em cadeira de rodas manual de frente para a direita pele clara,donna su sedia a rotelle manuale a destra carnagione chiara,زن در صندلی چرخ دار دستی به سمت راست پوست سفید,wanita dengan kursi roda manual menghadap kanan warna kulit cerah,坐手动轮椅的女人面向右边 较浅肤色,женщина в ручном кресле коляске направленные вправо светлый тон кожи,sağa dönük tekerlekli sandalyede kadın açık cilt tonu,سيدة على كرسي متحرك يدوي متجه لليمين بشرة بلون فاتح,سيدة على كرسي متحرك يدوي متجه لليمين بشرة بلون فاتح,TRUE
4437,👩🏾‍🦽‍➡️,Uncategorized,woman in manual wheelchair facing right medium-dark skin tone,frau in manuellem rollstuhl nach rechts mitteldunkle hautfarbe,mujer en silla de ruedas manual hacia la derecha tono de piel oscuro medio,femme en fauteuil roulant manuel vers la droite peau mate,手動式車椅子の女性 右向き やや濃い肌色,오른쪽을 향한 수동 휠체어를 탄 여자 진한 갈색 피부,mulher em cadeira de rodas manual de frente para a direita pele morena escura,donna su sedia a rotelle manuale a destra carnagione abbastanza scura,زن در صندلی چرخ دار دستی به سمت راست پوست گندمی,wanita dengan kursi roda manual menghadap kanan warna kulit gelap-sedang,坐手动轮椅的女人面向右边 中等深肤色,женщина в ручном кресле коляске направленные вправо темный тон кожи,sağa dönük tekerlekli sandalyede kadın orta koyu cilt tonu,سيدة على كرسي متحرك يدوي متجه لليمين بشرة بلون معتدل,سيدة على كرسي متحرك يدوي متجه لليمين بشرة بلون معتدل,TRUE
4438,👩🏾‍🦽‍➡,Uncategorized,woman in manual wheelchair facing right medium-dark skin tone,frau in manuellem rollstuhl nach rechts mitteldunkle hautfarbe,mujer en silla de ruedas manual hacia la derecha tono de piel oscuro medio,femme en fauteuil roulant manuel vers la droite peau mate,手動式車椅子の女性 右向き やや濃い肌色,오른쪽을 향한 수동 휠체어를 탄 여자 진한 갈색 피부,mulher em cadeira de rodas manual de frente para a direita pele morena escura,donna su sedia a rotelle manuale a destra carnagione abbastanza scura,زن در صندلی چرخ دار دستی به سمت راست پوست گندمی,wanita dengan kursi roda manual menghadap kanan warna kulit gelap-sedang,坐手动轮椅的女人面向右边 中等深肤色,женщина в ручном кресле коляске направленные вправо темный тон кожи,sağa dönük tekerlekli sandalyede kadın orta koyu cilt tonu,سيدة على كرسي متحرك يدوي متجه لليمين بشرة بلون معتدل,سيدة على كرسي متحرك يدوي متجه لليمين بشرة بلون معتدل,TRUE
4439,👩🏼‍🦽‍➡️,Uncategorized,woman in manual wheelchair facing right medium-light skin tone,frau in manuellem rollstuhl nach rechts mittelhelle hautfarbe,mujer en silla de ruedas manual hacia la derecha tono de piel claro medio,femme en fauteuil roulant manuel vers la droite peau moyennement claire,手動式車椅子の女性 右向き やや薄い肌色,오른쪽을 향한 수동 휠체어를 탄 여자 연한 갈색 피부,mulher em cadeira de rodas manual de frente para a direita pele morena clara,donna su sedia a rotelle manuale a destra carnagione abbastanza chiara,زن در صندلی چرخ دار دستی به سمت راست پوست روشن,wanita dengan kursi roda manual menghadap kanan warna kulit cerah-sedang,坐手动轮椅的女人面向右边 中等浅肤色,женщина в ручном кресле коляске направленные вправо светлыи тон кож,sağa dönük tekerlekli sandalyede kadın orta açık cilt tonu,سيدة على كرسي متحرك يدوي متجه لليمين بلون فاتح ومعتدل,سيدة على كرسي متحرك يدوي متجه لليمين بلون فاتح ومعتدل,TRUE
4440,👩🏼‍🦽‍➡,Uncategorized,woman in manual wheelchair facing right medium-light skin tone,frau in manuellem rollstuhl nach rechts mittelhelle hautfarbe,mujer en silla de ruedas manual hacia la derecha tono de piel claro medio,femme en fauteuil roulant manuel vers la droite peau moyennement claire,手動式車椅子の女性 右向き やや薄い肌色,오른쪽을 향한 수동 휠체어를 탄 여자 연한 갈색 피부,mulher em cadeira de rodas manual de frente para a direita pele morena clara,donna su sedia a rotelle manuale a destra carnagione abbastanza chiara,زن در صندلی چرخ دار دستی به سمت راست پوست روشن,wanita dengan kursi roda manual menghadap kanan warna kulit cerah-sedang,坐手动轮椅的女人面向右边 中等浅肤色,женщина в ручном кресле коляске направленные вправо светлыи тон кож,sağa dönük tekerlekli sandalyede kadın orta açık cilt tonu,سيدة على كرسي متحرك يدوي متجه لليمين بلون فاتح ومعتدل,سيدة على كرسي متحرك يدوي متجه لليمين بلون فاتح ومعتدل,TRUE
4441,👩🏽‍🦽‍➡️,Uncategorized,woman in manual wheelchair facing right medium skin tone,frau in manuellem rollstuhl nach rechts mittlere hautfarbe,mujer en silla de ruedas manual hacia la derecha tono de piel medio,femme en fauteuil roulant manuel vers la droite peau légèrement mate,手動式車椅子の女性 右向き 中間の肌色,오른쪽을 향한 수동 휠체어를 탄 여자 갈색 피부,mulher em cadeira de rodas manual de frente para a direita pele morena,donna su sedia a rotelle manuale a destra carnagione olivastra,زن در صندلی چرخ دار دستی به سمت راست پوست طلایی,wanita dengan kursi roda manual menghadap kanan warna kulit sedang,坐手动轮椅的女人面向右边 中等肤色,женщина в ручном кресле коляске направленные вправо средний тон кожи,sağa dönük tekerlekli sandalyede kadın orta cilt tonu,سيدة على كرسي متحرك يدوي متجه لليمين بلون معتدل,سيدة على كرسي متحرك يدوي متجه لليمين بلون معتدل,TRUE
4442,👩🏽‍🦽‍➡,Uncategorized,woman in manual wheelchair facing right medium skin tone,frau in manuellem rollstuhl nach rechts mittlere hautfarbe,mujer en silla de ruedas manual hacia la derecha tono de piel medio,femme en fauteuil roulant manuel vers la droite peau légèrement mate,手動式車椅子の女性 右向き 中間の肌色,오른쪽을 향한 수동 휠체어를 탄 여자 갈색 피부,mulher em cadeira de rodas manual de frente para a direita pele morena,donna su sedia a rotelle manuale a destra carnagione olivastra,زن در صندلی چرخ دار دستی به سمت راست پوست طلایی,wanita dengan kursi roda manual menghadap kanan warna kulit sedang,坐手动轮椅的女人面向右边 中等肤色,женщина в ручном кресле коляске направленные вправо средний тон кожи,sağa dönük tekerlekli sandalyede kadın orta cilt tonu,سيدة على كرسي متحرك يدوي متجه لليمين بلون معتدل,سيدة على كرسي متحرك يدوي متجه لليمين بلون معتدل,TRUE
4443,👩🏻‍🦽,Uncategorized,woman in manual wheelchair light skin tone,frau in manuellem rollstuhl helle hautfarbe,mujer en silla de ruedas manual tono de piel claro,femme en fauteuil roulant manuel peau claire,手動式車椅子の女性 薄い肌色,수동 휠체어를 탄 여자 하얀 피부,mulher em cadeira de rodas manual pele clara,donna su sedia a rotelle manuale carnagione chiara,زن در صندلی چرخ دار دستی پوست سفید,wanita dengan kursi roda manual warna kulit cerah,坐手动轮椅的女人 较浅肤色,женщина в ручном кресле коляске очень светлый тон кожи,tekerlekli sandalyede kadın açık cilt tonu,سيدة على كرسي متحرك يدوي بشرة بلون فاتح,سيدة على كرسي متحرك يدوي بشرة بلون فاتح,TRUE
4444,👩🏾‍🦽,Uncategorized,woman in manual wheelchair medium-dark skin tone,frau in manuellem rollstuhl mitteldunkle hautfarbe,mujer en silla de ruedas manual tono de piel oscuro medio,femme en fauteuil roulant manuel peau mate,手動式車椅子の女性 やや濃い肌色,수동 휠체어를 탄 여자 진한 갈색 피부,mulher em cadeira de rodas manual pele morena escura,donna su sedia a rotelle manuale carnagione abbastanza scura,زن در صندلی چرخ دار دستی پوست گندمی,wanita dengan kursi roda manual warna kulit gelap-sedang,坐手动轮椅的女人 中等深肤色,женщина в ручном кресле коляске темный тон кожи,tekerlekli sandalyede kadın orta koyu cilt tonu,سيدة على كرسي متحرك يدوي بشرة بلون معتدل مائل للغامق,سيدة على كرسي متحرك يدوي بشرة بلون معتدل مائل للغامق,TRUE
4445,👩🏼‍🦽,Uncategorized,woman in manual wheelchair medium-light skin tone,frau in manuellem rollstuhl mittelhelle hautfarbe,mujer en silla de ruedas manual tono de piel claro medio,femme en fauteuil roulant manuel peau moyennement claire,手動式車椅子の女性 やや薄い肌色,수동 휠체어를 탄 여자 연한 갈색 피부,mulher em cadeira de rodas manual pele morena clara,donna su sedia a rotelle manuale carnagione abbastanza chiara,زن در صندلی چرخ دار دستی پوست روشن,wanita dengan kursi roda manual warna kulit cerah-sedang,坐手动轮椅的女人 中等浅肤色,женщина в ручном кресле коляске светлый тон кожи,tekerlekli sandalyede kadın orta açık cilt tonu,سيدة على كرسي متحرك يدوي بشرة بلون فاتح ومعتدل,سيدة على كرسي متحرك يدوي بشرة بلون فاتح ومعتدل,TRUE
4446,👩🏽‍🦽,Uncategorized,woman in manual wheelchair medium skin tone,frau in manuellem rollstuhl mittlere hautfarbe,mujer en silla de ruedas manual tono de piel medio,femme en fauteuil roulant manuel peau légèrement mate,手動式車椅子の女性 中間の肌色,수동 휠체어를 탄 여자 갈색 피부,mulher em cadeira de rodas manual pele morena,donna su sedia a rotelle manuale carnagione olivastra,زن در صندلی چرخ دار دستی پوست طلایی,wanita dengan kursi roda manual warna kulit sedang,坐手动轮椅的女人 中等肤色,женщина в ручном кресле коляске средний тон кожи,tekerlekli sandalyede kadın orta cilt tonu,سيدة على كرسي متحرك يدوي بشرة بلون معتدل,سيدة على كرسي متحرك يدوي بشرة بلون معتدل,TRUE
4447,👩‍🦼,Uncategorized,woman in motorized wheelchair,frau in elektrischem rollstuhl,mujer en silla de ruedas eléctrica,femme en fauteuil motorisé,電動車椅子の女性,전동 휠체어를 탄 여자,mulher em cadeira de rodas motorizada,donna su sedia a rotelle motorizzata,زن در صندلی چرخ دار برقی,wanita dengan kursi roda bermotor,坐电动轮椅的女人,женщина в электрическом кресле коляске,elektrikli tekerlekli sandalyede kadın,سيدة على كرسي متحرك كهربائي,سيدة على كرسي متحرك كهربائي,TRUE
