idx,description_eng,description_deu,description_spa,description_fra,description_jpn,description_kor,description_por,description_ita,description_fas,description_ind,description_zho,description_rus,description_tur,description_ary,description_arb
4446,woman playing water polo,wasserballspielerin,mujer jugando al waterpolo,joueuse de water-polo,水球をする女,수구하는 여자,mulher jogando polo aquático,pallanuotista donna,واترپلو زنان,wanita bermain polo air,女生玩水球,женщина играет в водное поло,su topu oynayan kadın,لاعبة كرة ماء,لاعبة كرة ماء
4448,woman playing water polo dark skin tone,wasserballspielerin dunkle hautfarbe,mujer jugando al waterpolo tono de piel oscuro,joueuse de water-polo peau foncée,水球をする女 濃い肌色,수구하는 여자 검은색 피부,mulher jogando polo aquático pele escura,pallanuotista donna carnagione scura,واترپلو زنان پوست آبنوسی,wanita bermain polo air warna kulit gelap,女生玩水球 较深肤色,женщина играет в водное поло очень темныи тон кожи,su topu oynayan kadın koyu cilt tonu,لاعبة كرة ماء بشرة بلون غامق,لاعبة كرة ماء بشرة بلون غامق
4450,woman playing water polo light skin tone,wasserballspielerin helle hautfarbe,mujer jugando al waterpolo tono de piel claro,joueuse de water-polo peau claire,水球をする女 薄い肌色,수구하는 여자 하얀 피부,mulher jogando polo aquático pele clara,pallanuotista donna carnagione chiara,واترپلو زنان پوست سفید,wanita bermain polo air warna kulit cerah,女生玩水球 较浅肤色,женщина играет в водное поло очень светлыи тон кожи,su topu oynayan kadın açık cilt tonu,لاعبة كرة ماء بشرة بلون فاتح,لاعبة كرة ماء بشرة بلون فاتح
4452,woman playing water polo medium-dark skin tone,wasserballspielerin mitteldunkle hautfarbe,mujer jugando al waterpolo tono de piel oscuro medio,joueuse de water-polo peau mate,水球をする女 やや濃い肌色,수구하는 여자 진한 갈색 피부,mulher jogando polo aquático pele morena escura,pallanuotista donna carnagione abbastanza scura,واترپلو زنان پوست گندمی,wanita bermain polo air warna kulit gelap-sedang,女生玩水球 中等深肤色,женщина играет в водное поло темныи тон кожи,su topu oynayan kadın orta koyu cilt tonu,لاعبة كرة ماء بشرة بلون معتدل مائل للغامق,لاعبة كرة ماء بشرة بلون معتدل مائل للغامق
4454,woman playing water polo medium-light skin tone,wasserballspielerin mittelhelle hautfarbe,mujer jugando al waterpolo tono de piel claro medio,joueuse de water-polo peau moyennement claire,水球をする女 やや薄い肌色,수구하는 여자 연한 갈색 피부,mulher jogando polo aquático pele morena clara,pallanuotista donna carnagione abbastanza chiara,واترپلو زنان پوست روشن,wanita bermain polo air warna kulit cerah-sedang,女生玩水球 中等浅肤色,женщина играет в водное поло светлыи тон кожи,su topu oynayan kadın orta açık cilt tonu,لاعبة كرة ماء بشرة بلون فاتح ومعتدل,لاعبة كرة ماء بشرة بلون فاتح ومعتدل
4456,woman playing water polo medium skin tone,wasserballspielerin mittlere hautfarbe,mujer jugando al waterpolo tono de piel medio,joueuse de water-polo peau légèrement mate,水球をする女 中間の肌色,수구하는 여자 갈색 피부,mulher jogando polo aquático pele morena,pallanuotista donna carnagione olivastra,واترپلو زنان پوست طلایی,wanita bermain polo air warna kulit sedang,女生玩水球 中等肤色,женщина играет в водное поло среднии тон кожи,su topu oynayan kadın orta cilt tonu,لاعبة كرة ماء بشرة بلون معتدل,لاعبة كرة ماء بشرة بلون معتدل
4458,woman police officer,polizistin,agente de policía mujer,policière,女性警察官,여자 경찰관,policial mulher,poliziotta,پلیس زن,polisi wanita,女警察,женщина-полицеискии,kadın polis memuru,شرطية,شرطية
4460,woman police officer dark skin tone,polizistin dunkle hautfarbe,agente de policía mujer tono de piel oscuro,policière peau foncée,女性警察官 濃い肌色,여자 경찰관 검은색 피부,policial mulher pele escura,poliziotta carnagione scura,پلیس زن پوست آبنوسی,polisi wanita warna kulit gelap,女警察 较深肤色,женщина-полицеискии очень темныи тон кожи,kadın polis memuru koyu cilt tonu,شرطية بشرة بلون غامق,شرطية بشرة بلون غامق
4462,woman police officer light skin tone,polizistin helle hautfarbe,agente de policía mujer tono de piel claro,policière peau claire,女性警察官 薄い肌色,여자 경찰관 하얀 피부,policial mulher pele clara,poliziotta carnagione chiara,پلیس زن پوست سفید,polisi wanita warna kulit cerah,女警察 较浅肤色,женщина-полицеискии очень светлыи тон кожи,kadın polis memuru açık cilt tonu,شرطية بشرة بلون فاتح,شرطية بشرة بلون فاتح
4464,woman police officer medium-dark skin tone,polizistin mitteldunkle hautfarbe,agente de policía mujer tono de piel oscuro medio,policière peau mate,女性警察官 やや濃い肌色,여자 경찰관 진한 갈색 피부,policial mulher pele morena escura,poliziotta carnagione abbastanza scura,پلیس زن پوست گندمی,polisi wanita warna kulit gelap-sedang,女警察 中等深肤色,женщина-полицеискии темныи тон кожи,kadın polis memuru orta koyu cilt tonu,شرطية بشرة بلون معتدل مائل للغامق,شرطية بشرة بلون معتدل مائل للغامق
4466,woman police officer medium-light skin tone,polizistin mittelhelle hautfarbe,agente de policía mujer tono de piel claro medio,policière peau moyennement claire,女性警察官 やや薄い肌色,여자 경찰관 연한 갈색 피부,policial mulher pele morena clara,poliziotta carnagione abbastanza chiara,پلیس زن پوست روشن,polisi wanita warna kulit cerah-sedang,女警察 中等浅肤色,женщина-полицеискии светлыи тон кожи,kadın polis memuru orta açık cilt tonu,شرطية بشرة بلون فاتح ومعتدل,شرطية بشرة بلون فاتح ومعتدل
4468,woman police officer medium skin tone,polizistin mittlere hautfarbe,agente de policía mujer tono de piel medio,policière peau légèrement mate,女性警察官 中間の肌色,여자 경찰관 갈색 피부,policial mulher pele morena,poliziotta carnagione olivastra,پلیس زن پوست طلایی,polisi wanita warna kulit sedang,女警察 中等肤色,женщина-полицеискии среднии тон кожи,kadın polis memuru orta cilt tonu,شرطية بشرة بلون معتدل,شرطية بشرة بلون معتدل
4470,woman pouting,schmollende frau,mujer haciendo pucheros,femme qui boude,不機嫌な女,뾰로통한 여자,mulher fazendo bico,donna imbronciata,زن اخم وتخم می کند,wanita tidak senang,撅嘴女,обиженная женщина,darılan kadın,سيدة عابسة,سيدة عابسة
4472,woman pouting dark skin tone,schmollende frau dunkle hautfarbe,mujer haciendo pucheros tono de piel oscuro,femme qui boude peau foncée,不機嫌な女 濃い肌色,뾰로통한 여자 검은색 피부,mulher fazendo bico pele escura,donna imbronciata carnagione scura,زن اخم وتخم می کند پوست آبنوسی,wanita tidak senang warna kulit gelap,撅嘴女 较深肤色,обиженная женщина очень темныи тон кожи,darılan kadın koyu cilt tonu,سيدة عابسة بشرة بلون غامق,سيدة عابسة بشرة بلون غامق
4474,woman pouting light skin tone,schmollende frau helle hautfarbe,mujer haciendo pucheros tono de piel claro,femme qui boude peau claire,不機嫌な女 薄い肌色,뾰로통한 여자 하얀 피부,mulher fazendo bico pele clara,donna imbronciata carnagione chiara,زن اخم وتخم می کند پوست سفید,wanita tidak senang warna kulit cerah,撅嘴女 较浅肤色,обиженная женщина очень светлыи тон кожи,darılan kadın açık cilt tonu,سيدة عابسة بشرة بلون فاتح,سيدة عابسة بشرة بلون فاتح
4476,woman pouting medium-dark skin tone,schmollende frau mitteldunkle hautfarbe,mujer haciendo pucheros tono de piel oscuro medio,femme qui boude peau mate,不機嫌な女 やや濃い肌色,뾰로통한 여자 진한 갈색 피부,mulher fazendo bico pele morena escura,donna imbronciata carnagione abbastanza scura,زن اخم وتخم می کند پوست گندمی,wanita tidak senang warna kulit gelap-sedang,撅嘴女 中等深肤色,обиженная женщина темныи тон кожи,darılan kadın orta koyu cilt tonu,سيدة عابسة بشرة بلون معتدل مائل للغامق,سيدة عابسة بشرة بلون معتدل مائل للغامق
4478,woman pouting medium-light skin tone,schmollende frau mittelhelle hautfarbe,mujer haciendo pucheros tono de piel claro medio,femme qui boude peau moyennement claire,不機嫌な女 やや薄い肌色,뾰로통한 여자 연한 갈색 피부,mulher fazendo bico pele morena clara,donna imbronciata carnagione abbastanza chiara,زن اخم وتخم می کند پوست روشن,wanita tidak senang warna kulit cerah-sedang,撅嘴女 中等浅肤色,обиженная женщина светлыи тон кожи,darılan kadın orta açık cilt tonu,سيدة عابسة بشرة بلون فاتح ومعتدل,سيدة عابسة بشرة بلون فاتح ومعتدل
4480,woman pouting medium skin tone,schmollende frau mittlere hautfarbe,mujer haciendo pucheros tono de piel medio,femme qui boude peau légèrement mate,不機嫌な女 中間の肌色,뾰로통한 여자 갈색 피부,mulher fazendo bico pele morena,donna imbronciata carnagione olivastra,زن اخم وتخم می کند پوست طلایی,wanita tidak senang warna kulit sedang,撅嘴女 中等肤色,обиженная женщина среднии тон кожи,darılan kadın orta cilt tonu,سيدة عابسة بشرة بلون معتدل,سيدة عابسة بشرة بلون معتدل
4483,woman raising hand dark skin tone,frau mit erhobenem arm dunkle hautfarbe,mujer con la mano levantada tono de piel oscuro,femme qui lève la main peau foncée,手を挙げる女 濃い肌色,한 손 든 여자 검은색 피부,mulher levantando a mão pele escura,donna con mano alzata carnagione scura,زن دستش را بالا می برد پوست آبنوسی,wanita mengangkat tangan warna kulit gelap,女生举手 较深肤色,женщина с поднятои рукои очень темныи тон кожи,elini kaldıran kadın koyu cilt tonu,سيدة ترفع يدها بشرة بلون غامق,سيدة ترفع يدها بشرة بلون غامق
4485,woman raising hand light skin tone,frau mit erhobenem arm helle hautfarbe,mujer con la mano levantada tono de piel claro,femme qui lève la main peau claire,手を挙げる女 薄い肌色,한 손 든 여자 하얀 피부,mulher levantando a mão pele clara,donna con mano alzata carnagione chiara,زن دستش را بالا می برد پوست سفید,wanita mengangkat tangan warna kulit cerah,女生举手 较浅肤色,женщина с поднятои рукои очень светлыи тон кожи,elini kaldıran kadın açık cilt tonu,سيدة ترفع يدها بشرة بلون فاتح,سيدة ترفع يدها بشرة بلون فاتح
4487,woman raising hand medium-dark skin tone,frau mit erhobenem arm mitteldunkle hautfarbe,mujer con la mano levantada tono de piel oscuro medio,femme qui lève la main peau mate,手を挙げる女 やや濃い肌色,한 손 든 여자 진한 갈색 피부,mulher levantando a mão pele morena escura,donna con mano alzata carnagione abbastanza scura,زن دستش را بالا می برد پوست گندمی,wanita mengangkat tangan warna kulit gelap-sedang,女生举手 中等深肤色,женщина с поднятои рукои темныи тон кожи,elini kaldıran kadın orta koyu cilt tonu,سيدة ترفع يدها بشرة بلون معتدل مائل للغامق,سيدة ترفع يدها بشرة بلون معتدل مائل للغامق
4489,woman raising hand medium-light skin tone,frau mit erhobenem arm mittelhelle hautfarbe,mujer con la mano levantada tono de piel claro medio,femme qui lève la main peau moyennement claire,手を挙げる女 やや薄い肌色,한 손 든 여자 연한 갈색 피부,mulher levantando a mão pele morena clara,donna con mano alzata carnagione abbastanza chiara,زن دستش را بالا می برد پوست روشن,wanita mengangkat tangan warna kulit cerah-sedang,女生举手 中等浅肤色,женщина с поднятои рукои светлыи тон кожи,elini kaldıran kadın orta açık cilt tonu,سيدة ترفع يدها بشرة بلون فاتح ومعتدل,سيدة ترفع يدها بشرة بلون فاتح ومعتدل
4491,woman raising hand medium skin tone,frau mit erhobenem arm mittlere hautfarbe,mujer con la mano levantada tono de piel medio,femme qui lève la main peau légèrement mate,手を挙げる女 中間の肌色,한 손 든 여자 갈색 피부,mulher levantando a mão pele morena,donna con mano alzata carnagione olivastra,زن دستش را بالا می برد پوست طلایی,wanita mengangkat tangan warna kulit sedang,女生举手 中等肤色,женщина с поднятои рукои среднии тон кожи,elini kaldıran kadın orta cilt tonu,سيدة ترفع يدها بشرة بلون معتدل,سيدة ترفع يدها بشرة بلون معتدل
4493,woman red hair,frau rotes haar,mujer pelo pelirrojo,femme cheveux roux,女性 赤毛,여자 빨간 머리,mulher cabelo vermelho,donna capelli rossi,زن موقرمز,wanita rambut merah,女人 红发,женщина рыжие волосы,kadın kızıl saç,سيدة شعر أحمر,سيدة شعر أحمر
4494,woman rowing boat,frau im ruderboot,mujer remando en un bote,rameuse dans une barque,ボートをこぐ女,노젓는 여자,mulher remando,donna in barca a remi,پاروزن زن,wanita mendayung perahu,女生划船,гребчиха,sandalda kürek çeken kadın,سيدة تجدف بقارب,سيدة تجدف بقارب
4496,woman rowing boat dark skin tone,frau im ruderboot dunkle hautfarbe,mujer remando en un bote tono de piel oscuro,rameuse dans une barque peau foncée,ボートをこぐ女 濃い肌色,노젓는 여자 검은색 피부,mulher remando pele escura,donna in barca a remi carnagione scura,پاروزن زن پوست آبنوسی,wanita mendayung perahu warna kulit gelap,女生划船 较深肤色,гребчиха очень темныи тон кожи,sandalda kürek çeken kadın koyu cilt tonu,سيدة تجدف بقارب بشرة بلون غامق,سيدة تجدف بقارب بشرة بلون غامق
4498,woman rowing boat light skin tone,frau im ruderboot helle hautfarbe,mujer remando en un bote tono de piel claro,rameuse dans une barque peau claire,ボートをこぐ女 薄い肌色,노젓는 여자 하얀 피부,mulher remando pele clara,donna in barca a remi carnagione chiara,پاروزن زن پوست سفید,wanita mendayung perahu warna kulit cerah,女生划船 较浅肤色,гребчиха очень светлыи тон кожи,sandalda kürek çeken kadın açık cilt tonu,سيدة تجدف بقارب بشرة بلون فاتح,سيدة تجدف بقارب بشرة بلون فاتح
4500,woman rowing boat medium-dark skin tone,frau im ruderboot mitteldunkle hautfarbe,mujer remando en un bote tono de piel oscuro medio,rameuse dans une barque peau mate,ボートをこぐ女 やや濃い肌色,노젓는 여자 진한 갈색 피부,mulher remando pele morena escura,donna in barca a remi carnagione abbastanza scura,پاروزن زن پوست گندمی,wanita mendayung perahu warna kulit gelap-sedang,女生划船 中等深肤色,гребчиха темныи тон кожи,sandalda kürek çeken kadın orta koyu cilt tonu,سيدة تجدف بقارب بشرة بلون معتدل مائل للغامق,سيدة تجدف بقارب بشرة بلون معتدل مائل للغامق
4502,woman rowing boat medium-light skin tone,frau im ruderboot mittelhelle hautfarbe,mujer remando en un bote tono de piel claro medio,rameuse dans une barque peau moyennement claire,ボートをこぐ女 やや薄い肌色,노젓는 여자 연한 갈색 피부,mulher remando pele morena clara,donna in barca a remi carnagione abbastanza chiara,پاروزن زن پوست روشن,wanita mendayung perahu warna kulit cerah-sedang,女生划船 中等浅肤色,гребчиха светлыи тон кожи,sandalda kürek çeken kadın orta açık cilt tonu,سيدة تجدف بقارب بشرة بلون فاتح ومعتدل,سيدة تجدف بقارب بشرة بلون فاتح ومعتدل
4504,woman rowing boat medium skin tone,frau im ruderboot mittlere hautfarbe,mujer remando en un bote tono de piel medio,rameuse dans une barque peau légèrement mate,ボートをこぐ女 中間の肌色,노젓는 여자 갈색 피부,mulher remando pele morena,donna in barca a remi carnagione olivastra,پاروزن زن پوست طلایی,wanita mendayung perahu warna kulit sedang,女生划船 中等肤色,гребчиха среднии тон кожи,sandalda kürek çeken kadın orta cilt tonu,سيدة تجدف بقارب بشرة بلون معتدل,سيدة تجدف بقارب بشرة بلون معتدل
4506,woman running,laufende frau,mujer corriendo,femme qui court,走る女,뛰는 여자,mulher correndo,donna che corre,زن دونده,wanita berlari,女生跑步,женщина бежит,koşan kadın,راكضة,راكضة
4508,woman running dark skin tone,laufende frau dunkle hautfarbe,mujer corriendo tono de piel oscuro,femme qui court peau foncée,走る女 濃い肌色,뛰는 여자 검은색 피부,mulher correndo pele escura,donna che corre carnagione scura,زن دونده پوست آبنوسی,wanita berlari warna kulit gelap,女生跑步 较深肤色,женщина бежит очень темныи тон кожи,koşan kadın koyu cilt tonu,راكضة بشرة بلون غامق,راكضة بشرة بلون غامق
4510,woman running light skin tone,laufende frau helle hautfarbe,mujer corriendo tono de piel claro,femme qui court peau claire,走る女 薄い肌色,뛰는 여자 하얀 피부,mulher correndo pele clara,donna che corre carnagione chiara,زن دونده پوست سفید,wanita berlari warna kulit cerah,女生跑步 较浅肤色,женщина бежит очень светлыи тон кожи,koşan kadın açık cilt tonu,راكضة بشرة بلون فاتح,راكضة بشرة بلون فاتح
4512,woman running medium-dark skin tone,laufende frau mitteldunkle hautfarbe,mujer corriendo tono de piel oscuro medio,femme qui court peau mate,走る女 やや濃い肌色,뛰는 여자 진한 갈색 피부,mulher correndo pele morena escura,donna che corre carnagione abbastanza scura,زن دونده پوست گندمی,wanita berlari warna kulit gelap-sedang,女生跑步 中等深肤色,женщина бежит темныи тон кожи,koşan kadın orta koyu cilt tonu,راكضة بشرة بلون معتدل مائل للغامق,راكضة بشرة بلون معتدل مائل للغامق
4514,woman running medium-light skin tone,laufende frau mittelhelle hautfarbe,mujer corriendo tono de piel claro medio,femme qui court peau moyennement claire,走る女 やや薄い肌色,뛰는 여자 연한 갈색 피부,mulher correndo pele morena clara,donna che corre carnagione abbastanza chiara,زن دونده پوست روشن,wanita berlari warna kulit cerah-sedang,女生跑步 中等浅肤色,женщина бежит светлыи тон кожи,koşan kadın orta açık cilt tonu,راكضة بشرة بلون فاتح ومعتدل,راكضة بشرة بلون فاتح ومعتدل
4516,woman running medium skin tone,laufende frau mittlere hautfarbe,mujer corriendo tono de piel medio,femme qui court peau légèrement mate,走る女 中間の肌色,뛰는 여자 갈색 피부,mulher correndo pele morena,donna che corre carnagione olivastra,زن دونده پوست طلایی,wanita berlari warna kulit sedang,女生跑步 中等肤色,женщина бежит среднии тон кожи,koşan kadın orta cilt tonu,راكضة بشرة بلون معتدل,راكضة بشرة بلون معتدل
4518,woman scientist dark skin tone,wissenschaftlerin dunkle hautfarbe,profesional de la ciencia mujer tono de piel oscuro,scientifique femme peau foncée,女性科学者 濃い肌色,여자 과학자 검은색 피부,cientista mulher pele escura,scienziata carnagione scura,دانشمند زن پوست آبنوسی,ilmuwan wanita warna kulit gelap,女科学家 较深肤色,ученая очень темный тон кожи,kadın bilim insanı koyu cilt tonu,عالِمة بشرة بلون غامق,عالِمة بشرة بلون غامق
4519,woman scientist light skin tone,wissenschaftlerin helle hautfarbe,profesional de la ciencia mujer tono de piel claro,scientifique femme peau claire,女性科学者 薄い肌色,여자 과학자 하얀 피부,cientista mulher pele clara,scienziata carnagione chiara,دانشمند زن پوست سفید,ilmuwan wanita warna kulit cerah,女科学家 较浅肤色,ученая очень светлый тон кожи,kadın bilim insanı açık cilt tonu,عالِمة بشرة بلون فاتح,عالِمة بشرة بلون فاتح
4520,woman scientist medium-dark skin tone,wissenschaftlerin mitteldunkle hautfarbe,profesional de la ciencia mujer tono de piel oscuro medio,scientifique femme peau mate,女性科学者 やや濃い肌色,여자 과학자 진한 갈색 피부,cientista mulher pele morena escura,scienziata carnagione abbastanza scura,دانشمند زن پوست گندمی,ilmuwan wanita warna kulit gelap-sedang,女科学家 中等深肤色,ученая темный тон кожи,kadın bilim insanı orta koyu cilt tonu,عالِمة بشرة بلون معتدل مائل للغامق,عالِمة بشرة بلون معتدل مائل للغامق
4521,woman scientist medium-light skin tone,wissenschaftlerin mittelhelle hautfarbe,profesional de la ciencia mujer tono de piel claro medio,scientifique femme peau moyennement claire,女性科学者 やや薄い肌色,여자 과학자 연한 갈색 피부,cientista mulher pele morena clara,scienziata carnagione abbastanza chiara,دانشمند زن پوست روشن,ilmuwan wanita warna kulit cerah-sedang,女科学家 中等浅肤色,ученая светлый тон кожи,kadın bilim insanı orta açık cilt tonu,عالِمة بشرة بلون فاتح ومعتدل,عالِمة بشرة بلون فاتح ومعتدل
4522,woman scientist medium skin tone,wissenschaftlerin mittlere hautfarbe,profesional de la ciencia mujer tono de piel medio,scientifique femme peau légèrement mate,女性科学者 中間の肌色,여자 과학자 갈색 피부,cientista mulher pele morena,scienziata carnagione olivastra,دانشمند زن پوست طلایی,ilmuwan wanita warna kulit sedang,女科学家 中等肤色,ученая средний тон кожи,kadın bilim insanı orta cilt tonu,عالِمة بشرة بلون معتدل,عالِمة بشرة بلون معتدل
4524,woman shrugging dark skin tone,schulterzuckende frau dunkle hautfarbe,mujer encogida de hombros tono de piel oscuro,femme qui hausse les épaules peau foncée,お手上げする女 濃い肌色,어깨를 으쓱하는 여자 검은색 피부,mulher dando de ombros pele escura,donna che scrolla le spalle carnagione scura,زن شانه بالا می اندازد پوست آبنوسی,wanita mengangkat bahu warna kulit gelap,女生耸肩 较深肤色,женщина пожимает плечами очень темныи тон кожи,omuz silken kadın koyu cilt tonu,سيدة لا تبالي بشرة بلون غامق,سيدة لا تبالي بشرة بلون غامق
4526,woman shrugging light skin tone,schulterzuckende frau helle hautfarbe,mujer encogida de hombros tono de piel claro,femme qui hausse les épaules peau claire,お手上げする女 薄い肌色,어깨를 으쓱하는 여자 하얀 피부,mulher dando de ombros pele clara,donna che scrolla le spalle carnagione chiara,زن شانه بالا می اندازد پوست سفید,wanita mengangkat bahu warna kulit cerah,女生耸肩 较浅肤色,женщина пожимает плечами очень светлыи тон кожи,omuz silken kadın açık cilt tonu,سيدة لا تبالي بشرة بلون فاتح,سيدة لا تبالي بشرة بلون فاتح
4528,woman shrugging medium-dark skin tone,schulterzuckende frau mitteldunkle hautfarbe,mujer encogida de hombros tono de piel oscuro medio,femme qui hausse les épaules peau mate,お手上げする女 やや濃い肌色,어깨를 으쓱하는 여자 진한 갈색 피부,mulher dando de ombros pele morena escura,donna che scrolla le spalle carnagione abbastanza scura,زن شانه بالا می اندازد پوست گندمی,wanita mengangkat bahu warna kulit gelap-sedang,女生耸肩 中等深肤色,женщина пожимает плечами темныи тон кожи,omuz silken kadın orta koyu cilt tonu,سيدة لا تبالي بشرة بلون معتدل مائل للغامق,سيدة لا تبالي بشرة بلون معتدل مائل للغامق
4530,woman shrugging medium-light skin tone,schulterzuckende frau mittelhelle hautfarbe,mujer encogida de hombros tono de piel claro medio,femme qui hausse les épaules peau moyennement claire,お手上げする女 やや薄い肌色,어깨를 으쓱하는 여자 연한 갈색 피부,mulher dando de ombros pele morena clara,donna che scrolla le spalle carnagione abbastanza chiara,زن شانه بالا می اندازد پوست روشن,wanita mengangkat bahu warna kulit cerah-sedang,女生耸肩 中等浅肤色,женщина пожимает плечами светлыи тон кожи,omuz silken kadın orta açık cilt tonu,سيدة لا تبالي بشرة بلون فاتح ومعتدل,سيدة لا تبالي بشرة بلون فاتح ومعتدل
4532,woman shrugging medium skin tone,schulterzuckende frau mittlere hautfarbe,mujer encogida de hombros tono de piel medio,femme qui hausse les épaules peau légèrement mate,お手上げする女 中間の肌色,어깨를 으쓱하는 여자 갈색 피부,mulher dando de ombros pele morena,donna che scrolla le spalle carnagione olivastra,زن شانه بالا می اندازد پوست طلایی,wanita mengangkat bahu warna kulit sedang,女生耸肩 中等肤色,женщина пожимает плечами среднии тон кожи,omuz silken kadın orta cilt tonu,سيدة لا تبالي بشرة بلون معتدل,سيدة لا تبالي بشرة بلون معتدل
4534,woman singer dark skin tone,sängerin dunkle hautfarbe,cantante mujer tono de piel oscuro,chanteuse peau foncée,女性歌手 濃い肌色,여자 가수 검은색 피부,cantora pele escura,cantante donna carnagione scura,خواننده زن پوست آبنوسی,penyanyi wanita warna kulit gelap,女歌手 较深肤色,певица очень темный тон кожи,kadın şarkıcı koyu cilt tonu,مطربة بشرة بلون غامق,مطربة بشرة بلون غامق
4535,woman singer light skin tone,sängerin helle hautfarbe,cantante mujer tono de piel claro,chanteuse peau claire,女性歌手 薄い肌色,여자 가수 하얀 피부,cantora pele clara,cantante donna carnagione chiara,خواننده زن پوست سفید,penyanyi wanita warna kulit cerah,女歌手 较浅肤色,певица очень светлый тон кожи,kadın şarkıcı açık cilt tonu,مطربة بشرة بلون فاتح,مطربة بشرة بلون فاتح
4536,woman singer medium-dark skin tone,sängerin mitteldunkle hautfarbe,cantante mujer tono de piel oscuro medio,chanteuse peau mate,女性歌手 やや濃い肌色,여자 가수 진한 갈색 피부,cantora pele morena escura,cantante donna carnagione abbastanza scura,خواننده زن پوست گندمی,penyanyi wanita warna kulit gelap-sedang,女歌手 中等深肤色,певица темный тон кожи,kadın şarkıcı orta koyu cilt tonu,مطربة بشرة بلون معتدل مائل للغامق,مطربة بشرة بلون معتدل مائل للغامق
4537,woman singer medium-light skin tone,sängerin mittelhelle hautfarbe,cantante mujer tono de piel claro medio,chanteuse peau moyennement claire,女性歌手 やや薄い肌色,여자 가수 연한 갈색 피부,cantora pele morena clara,cantante donna carnagione abbastanza chiara,خواننده زن پوست روشن,penyanyi wanita warna kulit cerah-sedang,女歌手 中等浅肤色,певица светлый тон кожи,kadın şarkıcı orta açık cilt tonu,مطربة بشرة بلون فاتح ومعتدل,مطربة بشرة بلون فاتح ومعتدل
4538,woman singer medium skin tone,sängerin mittlere hautfarbe,cantante mujer tono de piel medio,chanteuse peau légèrement mate,女性歌手 中間の肌色,여자 가수 갈색 피부,cantora pele morena,cantante donna carnagione olivastra,خواننده زن پوست طلایی,penyanyi wanita warna kulit sedang,女歌手 中等肤色,певица средний тон кожи,kadın şarkıcı orta cilt tonu,مطربة بشرة بلون معتدل,مطربة بشرة بلون معتدل
4539,woman standing,stehende frau,mujer de pie,femme debout,立つ女,서 있는 여자,mulher em pé,donna in piedi,زن ایستاده,wanita berdiri,站立的女人,женщина стоит,ayakta duran kadın,سيدة واقفة,سيدة واقفة
4541,woman standing dark skin tone,stehende frau dunkle hautfarbe,mujer de pie tono de piel oscuro,femme debout peau foncée,立つ女 濃い肌色,서 있는 여자 검은색 피부,mulher em pé pele escura,donna in piedi carnagione scura,زن ایستاده پوست آبنوسی,wanita berdiri warna kulit gelap,站立的女人 较深肤色,женщина стоит очень темныи тон кожи,ayakta duran kadın koyu cilt tonu,سيدة واقفة بشرة بلون غامق,سيدة واقفة بشرة بلون غامق
4543,woman standing light skin tone,stehende frau helle hautfarbe,mujer de pie tono de piel claro,femme debout peau claire,立つ女 薄い肌色,서 있는 여자 하얀 피부,mulher em pé pele clara,donna in piedi carnagione chiara,زن ایستاده پوست سفید,wanita berdiri warna kulit cerah,站立的女人 较浅肤色,женщина стоит очень светлыи тон кожи,ayakta duran kadın açık cilt tonu,سيدة واقفة بشرة بلون فاتح,سيدة واقفة بشرة بلون فاتح
4545,woman standing medium-dark skin tone,stehende frau mitteldunkle hautfarbe,mujer de pie tono de piel oscuro medio,femme debout peau mate,立つ女 やや濃い肌色,서 있는 여자 진한 갈색 피부,mulher em pé pele morena escura,donna in piedi carnagione abbastanza scura,زن ایستاده پوست گندمی,wanita berdiri warna kulit gelap-sedang,站立的女人 中等深肤色,женщина стоит темныи тон кожи,ayakta duran kadın orta koyu cilt tonu,سيدة واقفة بشرة بلون معتدل مائل للغامق,سيدة واقفة بشرة بلون معتدل مائل للغامق
4547,woman standing medium-light skin tone,stehende frau mittelhelle hautfarbe,mujer de pie tono de piel claro medio,femme debout peau moyennement claire,立つ女 やや薄い肌色,서 있는 여자 연한 갈색 피부,mulher em pé pele morena clara,donna in piedi carnagione abbastanza chiara,زن ایستاده پوست روشن,wanita berdiri warna kulit cerah-sedang,站立的女人 中等浅肤色,женщина стоит светлыи тон кожи,ayakta duran kadın orta açık cilt tonu,سيدة واقفة بشرة بلون فاتح ومعتدل,سيدة واقفة بشرة بلون فاتح ومعتدل
4549,woman standing medium skin tone,stehende frau mittlere hautfarbe,mujer de pie tono de piel medio,femme debout peau légèrement mate,立つ女 中間の肌色,서 있는 여자 갈색 피부,mulher em pé pele morena,donna in piedi carnagione olivastra,زن ایستاده پوست طلایی,wanita berdiri warna kulit sedang,站立的女人 中等肤色,женщина стоит среднии тон кожи,ayakta duran kadın orta cilt tonu,سيدة واقفة بشرة بلون معتدل,سيدة واقفة بشرة بلون معتدل
4551,woman student dark skin tone,studentin dunkle hautfarbe,estudiante mujer tono de piel oscuro,étudiante peau foncée,女子学生 濃い肌色,여학생 검은색 피부,aluna pele escura,studentessa carnagione scura,دانشجوی زن پوست آبنوسی,sarjana wanita warna kulit gelap,女学生 较深肤色,студентка очень темный тон кожи,kız öğrenci koyu cilt tonu,طالبة بشرة بلون غامق,طالبة بشرة بلون غامق
